s,x,y,kappa,n_l,n_r
20.25,6.188,3.603,1.933,0.433,0.609
20.3,6.159,3.644,1.915,0.431,0.604
20.35,6.126,3.681,1.848,0.43,0.599
20.4,6.089,3.715,1.74,0.428,0.594
20.45,6.05,3.746,1.602,0.427,0.588
20.5,6.008,3.774,1.447,0.426,0.581
20.55,5.965,3.798,1.288,0.426,0.574
20.6,5.92,3.82,1.133,0.425,0.567
20.65,5.873,3.839,0.988,0.425,0.56
20.7,5.826,3.856,0.855,0.426,0.552
20.75,5.779,3.871,0.735,0.426,0.545
20.8,5.73,3.884,0.628,0.427,0.537
20.85,5.682,3.895,0.533,0.428,0.529
20.9,5.633,3.905,0.448,0.429,0.522
20.95,5.584,3.914,0.372,0.43,0.515
21.0,5.534,3.923,0.304,0.432,0.508
21.05,5.485,3.93,0.242,0.434,0.501
21.1,5.435,3.937,0.187,0.435,0.494
21.15,5.386,3.943,0.137,0.437,0.488
21.2,5.336,3.949,0.092,0.438,0.482
21.25,5.286,3.955,0.051,0.439,0.476
21.3,5.237,3.961,0.014,0.44,0.471
21.35,5.187,3.967,-0.018,0.441,0.466
21.4,5.137,3.972,-0.046,0.441,0.461
21.45,5.088,3.978,-0.07,0.441,0.456
21.5,5.038,3.984,-0.09,0.44,0.452
21.55,4.988,3.99,-0.104,0.438,0.447
21.6,4.939,3.997,-0.113,0.436,0.443
21.65,4.889,4.004,-0.117,0.433,0.439
21.7,4.84,4.011,-0.114,0.429,0.436
21.75,4.79,4.018,-0.106,0.425,0.432
21.8,4.741,4.026,-0.091,0.421,0.429
21.85,4.692,4.034,-0.071,0.416,0.426
21.9,4.642,4.042,-0.044,0.41,0.423
21.95,4.593,4.05,-0.012,0.405,0.42
22.0,4.544,4.058,0.024,0.399,0.418
22.05,4.494,4.066,0.063,0.393,0.416
22.1,4.445,4.074,0.105,0.388,0.414
22.15,4.395,4.082,0.147,0.383,0.412
22.2,4.346,4.089,0.188,0.378,0.411
22.25,4.297,4.096,0.227,0.374,0.41
22.3,4.247,4.102,0.261,0.371,0.409
22.35,4.197,4.108,0.289,0.368,0.409
22.4,4.147,4.113,0.31,0.367,0.409
22.45,4.098,4.117,0.323,0.367,0.41
22.5,4.048,4.12,0.327,0.368,0.411
22.55,3.998,4.123,0.323,0.37,0.413
22.6,3.948,4.125,0.31,0.374,0.415
22.65,3.898,4.126,0.289,0.379,0.418
22.7,3.848,4.126,0.26,0.385,0.421
22.75,3.798,4.125,0.226,0.392,0.425
22.8,3.748,4.124,0.187,0.4,0.429
22.85,3.698,4.123,0.146,0.409,0.434
22.9,3.648,4.121,0.102,0.418,0.44
22.95,3.598,4.119,0.059,0.429,0.446
23.0,3.548,4.117,0.018,0.439,0.452
23.05,3.498,4.114,-0.021,0.45,0.459
23.1,3.448,4.112,-0.055,0.462,0.466
23.15,3.398,4.11,-0.085,0.473,0.474
23.2,3.348,4.108,-0.108,0.484,0.482
23.25,3.298,4.107,-0.125,0.495,0.49
23.3,3.248,4.105,-0.136,0.505,0.498
23.35,3.198,4.104,-0.141,0.515,0.506
23.4,3.148,4.104,-0.14,0.525,0.514
23.45,3.098,4.104,-0.133,0.534,0.521
23.5,3.048,4.104,-0.122,0.542,0.529
23.55,2.998,4.104,-0.107,0.549,0.536
23.6,2.948,4.105,-0.089,0.556,0.542
23.65,2.898,4.106,-0.069,0.562,0.548
23.7,2.848,4.107,-0.046,0.568,0.553
23.75,2.798,4.108,-0.023,0.573,0.557
23.8,2.748,4.109,0.002,0.577,0.561
23.85,2.698,4.11,0.027,0.58,0.563
23.9,2.648,4.112,0.052,0.583,0.564
23.95,2.598,4.113,0.078,0.585,0.564
24.0,2.548,4.114,0.103,0.586,0.563
24.05,2.498,4.114,0.129,0.587,0.561
24.1,2.448,4.114,0.156,0.587,0.557
24.15,2.398,4.114,0.183,0.587,0.552
24.2,2.348,4.114,0.211,0.586,0.546
24.25,2.298,4.113,0.24,0.584,0.538
24.3,2.248,4.111,0.27,0.583,0.53
24.35,2.198,4.109,0.302,0.58,0.52
24.4,2.149,4.105,0.334,0.578,0.509
24.45,2.099,4.102,0.366,0.575,0.498
24.5,2.049,4.097,0.397,0.572,0.486
24.55,1.999,4.091,0.424,0.568,0.473
24.6,1.95,4.084,0.444,0.565,0.461
24.65,1.9,4.076,0.45,0.561,0.448
24.7,1.851,4.067,0.436,0.557,0.436
24.75,1.802,4.057,0.391,0.554,0.424
24.8,1.754,4.045,0.304,0.55,0.412
24.85,1.705,4.033,0.166,0.547,0.402
24.9,1.657,4.021,-0.03,0.544,0.392
24.95,1.608,4.009,-0.281,0.541,0.384
25.0,1.56,3.997,-0.568,0.538,0.377
25.05,1.511,3.986,-0.852,0.536,0.372
25.1,1.461,3.978,-1.075,0.534,0.368
25.15,1.412,3.973,-1.18,0.533,0.366
25.2,1.362,3.97,-1.142,0.532,0.366
25.25,1.312,3.971,-0.977,0.532,0.367
25.3,1.262,3.974,-0.735,0.532,0.37
25.35,1.212,3.979,-0.474,0.532,0.374
25.4,1.162,3.985,-0.235,0.533,0.379
25.45,1.113,3.991,-0.042,0.534,0.386
25.5,1.063,3.998,0.097,0.535,0.394
25.55,1.014,4.004,0.186,0.537,0.403
25.6,0.964,4.01,0.234,0.538,0.412
25.65,0.914,4.015,0.251,0.54,0.422
25.7,0.865,4.02,0.246,0.541,0.432
25.75,0.815,4.024,0.229,0.542,0.442
25.8,0.765,4.027,0.206,0.542,0.452
25.85,0.715,4.03,0.182,0.542,0.461
25.9,0.665,4.033,0.159,0.541,0.47
25.95,0.615,4.035,0.139,0.54,0.478
26.0,0.565,4.037,0.123,0.538,0.485
26.05,0.515,4.038,0.113,0.535,0.491
26.1,0.465,4.039,0.107,0.532,0.496
26.15,0.415,4.04,0.106,0.527,0.501
26.2,0.365,4.041,0.111,0.522,0.504
26.25,0.315,4.041,0.12,0.516,0.506
26.3,0.265,4.041,0.135,0.51,0.507
26.35,0.215,4.041,0.154,0.502,0.508
26.4,0.165,4.04,0.176,0.495,0.507
26.45,0.115,4.039,0.203,0.486,0.506
26.5,0.065,4.037,0.233,0.478,0.505
26.55,0.015,4.035,0.266,0.469,0.503
26.6,-0.035,4.032,0.301,0.461,0.501
26.65,-0.085,4.029,0.34,0.452,0.499
26.7,-0.134,4.024,0.383,0.443,0.498
26.75,-0.184,4.019,0.43,0.435,0.496
26.8,-0.234,4.012,0.482,0.428,0.494
26.85,-0.283,4.005,0.541,0.421,0.493
26.9,-0.332,3.996,0.607,0.415,0.493
