s,x,y,kappa,n_l,n_r
21.4,5.137,3.972,-0.046,0.484,0.452
21.45,5.088,3.978,-0.07,0.475,0.451
21.5,5.038,3.984,-0.09,0.478,0.45
21.55,4.988,3.99,-0.104,0.498,0.454
21.6,4.939,3.997,-0.113,0.495,0.458
21.65,4.889,4.004,-0.117,0.512,0.447
21.7,4.84,4.011,-0.114,0.52,0.443
21.75,4.79,4.018,-0.106,0.523,0.443
21.8,4.741,4.026,-0.091,0.531,0.446
21.85,4.692,4.034,-0.071,0.539,0.433
21.9,4.642,4.042,-0.044,0.548,0.435
21.95,4.593,4.05,-0.012,0.556,0.417
22.0,4.544,4.058,0.024,0.559,0.423
22.05,4.494,4.066,0.063,0.567,0.405
22.1,4.445,4.074,0.105,0.575,0.409
22.15,4.395,4.082,0.147,0.577,0.394
22.2,4.346,4.089,0.188,0.584,0.395
22.25,4.297,4.096,0.227,0.595,0.387
22.3,4.247,4.102,0.261,0.586,0.392
22.35,4.197,4.108,0.289,0.339,0.397
22.4,4.147,4.113,0.31,0.243,0.4
22.45,4.098,4.117,0.323,0.242,0.395
22.5,4.048,4.12,0.327,0.245,0.386
22.55,3.998,4.123,0.323,0.247,0.394
22.6,3.948,4.125,0.31,0.259,0.39
22.65,3.898,4.126,0.289,0.281,0.386
22.7,3.848,4.126,0.26,0.442,0.39
22.75,3.798,4.125,0.226,0.604,0.395
22.8,3.748,4.124,0.187,0.593,0.397
22.85,3.698,4.123,0.146,0.597,0.393
22.9,3.648,4.121,0.102,0.605,0.395
22.95,3.598,4.119,0.059,0.603,0.413
23.0,3.548,4.117,0.018,0.596,0.435
23.05,3.498,4.114,-0.021,0.584,0.447
23.1,3.448,4.112,-0.055,0.587,0.459
23.15,3.398,4.11,-0.085,0.584,0.476
23.2,3.348,4.108,-0.108,0.577,0.493
23.25,3.298,4.107,-0.125,0.581,0.513
23.3,3.248,4.105,-0.136,0.574,0.526
23.35,3.198,4.104,-0.141,0.578,0.537
23.4,3.148,4.104,-0.14,0.578,0.552
23.45,3.098,4.104,-0.133,0.582,0.563
23.5,3.048,4.104,-0.122,0.593,0.567
23.55,2.998,4.104,-0.107,0.598,0.577
23.6,2.948,4.105,-0.089,0.594,0.586
23.65,2.898,4.106,-0.069,0.61,0.596
23.7,2.848,4.107,-0.046,0.606,0.614
23.75,2.798,4.108,-0.023,0.602,0.616
23.8,2.748,4.109,0.002,0.608,0.624
23.85,2.698,4.11,0.027,0.605,0.626
23.9,2.648,4.112,0.052,0.606,0.625
23.95,2.598,4.113,0.078,0.612,0.649
24.0,2.548,4.114,0.103,0.618,0.638
24.05,2.498,4.114,0.129,0.618,0.647
24.1,2.448,4.114,0.156,0.618,0.662
24.15,2.398,4.114,0.183,0.613,0.659
24.2,2.348,4.114,0.211,0.613,0.668
24.25,2.298,4.113,0.24,0.612,0.674
24.3,2.248,4.111,0.27,0.605,0.681
24.35,2.198,4.109,0.302,0.608,0.679
24.4,2.149,4.105,0.334,0.611,0.712
24.45,2.099,4.102,0.366,0.608,0.712
24.5,2.049,4.097,0.397,0.604,0.709
24.55,1.999,4.091,0.424,0.605,0.711
24.6,1.95,4.084,0.444,0.6,0.71
24.65,1.9,4.076,0.45,0.588,0.721
24.7,1.851,4.067,0.436,0.582,0.755
24.75,1.802,4.057,0.391,0.574,0.773
24.8,1.754,4.045,0.304,0.565,0.679
24.85,1.705,4.033,0.166,0.554,0.59
24.9,1.657,4.021,-0.03,0.542,0.445
24.95,1.608,4.009,-0.281,0.528,0.309
25.0,1.56,3.997,-0.568,0.513,0.261
25.05,1.511,3.986,-0.852,0.499,0.23
25.1,1.461,3.978,-1.075,0.487,0.23
25.15,1.412,3.973,-1.18,0.478,0.234
25.2,1.362,3.97,-1.142,0.489,0.241
25.25,1.312,3.971,-0.977,0.47,0.24
25.3,1.262,3.974,-0.735,0.482,0.243
25.35,1.212,3.979,-0.474,0.493,0.264
25.4,1.162,3.985,-0.235,0.528,0.389
25.45,1.113,3.991,-0.042,0.54,0.537
25.5,1.063,3.998,0.097,0.546,0.581
25.55,1.014,4.004,0.186,0.552,0.783
25.6,0.964,4.01,0.234,0.557,0.771
25.65,0.914,4.015,0.251,0.562,0.769
25.7,0.865,4.02,0.246,0.566,0.769
25.75,0.815,4.024,0.229,0.57,0.759
25.8,0.765,4.027,0.206,0.573,0.73
25.85,0.715,4.03,0.182,0.575,0.712
25.9,0.665,4.033,0.159,0.582,0.705
25.95,0.615,4.035,0.139,0.594,0.702
26.0,0.565,4.037,0.123,0.621,0.68
26.05,0.515,4.038,0.113,0.622,0.649
26.1,0.465,4.039,0.107,0.628,0.647
26.15,0.415,4.04,0.106,0.634,0.677
26.2,0.365,4.041,0.111,0.635,0.655
26.25,0.315,4.041,0.12,0.635,0.626
26.3,0.265,4.041,0.135,0.64,0.605
26.35,0.215,4.041,0.154,0.65,0.58
26.4,0.165,4.04,0.176,0.669,0.561
26.45,0.115,4.039,0.203,0.678,0.557
26.5,0.065,4.037,0.233,0.682,0.524
26.55,0.015,4.035,0.266,0.68,0.522
26.6,-0.035,4.032,0.301,0.68,0.49
26.65,-0.085,4.029,0.34,0.681,0.494
26.7,-0.134,4.024,0.383,0.717,0.481
26.75,-0.184,4.019,0.43,0.713,0.461
26.8,-0.234,4.012,0.482,0.703,0.467
26.85,-0.283,4.005,0.541,0.444,0.458
26.9,-0.332,3.996,0.607,0.336,0.444
26.95,-0.381,3.985,0.682,0.333,0.447
27.0,-0.43,3.973,0.765,0.328,0.426
27.05,-0.478,3.959,0.856,0.402,0.442
27.1,-0.525,3.943,0.951,0.38,0.424
27.15,-0.572,3.925,1.047,0.346,0.446
27.2,-0.617,3.904,1.138,0.332,0.564
27.25,-0.661,3.881,1.217,0.352,0.516
27.3,-0.704,3.855,1.278,0.379,0.532
27.35,-0.745,3.827,1.315,0.388,0.598
27.4,-0.784,3.795,1.324,0.394,0.665
27.45,-0.821,3.762,1.306,0.412,0.67
27.5,-0.856,3.726,1.264,0.433,0.689
27.55,-0.888,3.687,1.202,0.459,0.69
27.6,-0.918,3.647,1.127,0.476,0.685
27.65,-0.946,3.606,1.043,0.487,0.67
27.7,-0.971,3.563,0.957,0.543,0.644
27.75,-0.994,3.518,0.872,0.543,0.62
27.8,-1.015,3.473,0.791,0.548,0.595
27.85,-1.035,3.427,0.715,0.536,0.592
27.9,-1.053,3.38,0.645,0.525,0.565
27.95,-1.069,3.333,0.582,0.501,0.552
28.0,-1.084,3.285,0.526,0.482,0.532
28.05,-1.098,3.237,0.475,0.465,0.509
28.1,-1.111,3.189,0.431,0.45,0.493
