s,x,y,kappa,n_l,n_r
4.51,4.534,0.172,-0.078,0.544,0.539
4.52,4.544,0.173,-0.069,0.545,0.538
4.53,4.554,0.174,-0.06,0.546,0.537
4.54,4.564,0.175,-0.052,0.547,0.536
4.55,4.574,0.175,-0.043,0.548,0.536
4.56,4.584,0.176,-0.035,0.549,0.535
4.57,4.594,0.177,-0.027,0.55,0.534
4.58,4.604,0.178,-0.019,0.551,0.533
4.59,4.614,0.178,-0.011,0.552,0.533
4.6,4.624,0.179,-0.003,0.553,0.532
4.61,4.634,0.18,0.005,0.555,0.533
4.62,4.644,0.181,0.013,0.556,0.533
4.63,4.654,0.181,0.02,0.557,0.533
4.64,4.664,0.182,0.028,0.558,0.533
4.65,4.674,0.183,0.035,0.559,0.533
4.66,4.684,0.184,0.042,0.56,0.533
4.67,4.694,0.185,0.049,0.561,0.533
4.68,4.704,0.185,0.056,0.562,0.533
4.69,4.713,0.186,0.063,0.563,0.533
4.7,4.723,0.187,0.07,0.563,0.534
4.71,4.733,0.188,0.077,0.564,0.534
4.72,4.743,0.188,0.084,0.565,0.534
4.73,4.753,0.189,0.09,0.566,0.534
4.74,4.763,0.19,0.097,0.567,0.534
4.75,4.773,0.191,0.103,0.568,0.534
4.76,4.783,0.192,0.109,0.569,0.535
4.77,4.793,0.193,0.115,0.57,0.535
4.78,4.803,0.194,0.121,0.571,0.535
4.79,4.813,0.194,0.127,0.572,0.535
4.8,4.823,0.195,0.133,0.572,0.536
4.81,4.833,0.196,0.139,0.573,0.536
4.82,4.843,0.197,0.144,0.574,0.536
4.83,4.853,0.198,0.149,0.575,0.536
4.84,4.863,0.199,0.154,0.576,0.537
4.85,4.873,0.2,0.158,0.576,0.537
4.86,4.883,0.201,0.161,0.577,0.537
4.87,4.893,0.202,0.164,0.578,0.538
4.88,4.903,0.203,0.165,0.579,0.538
4.89,4.913,0.204,0.166,0.579,0.539
4.9,4.923,0.205,0.165,0.58,0.539
4.91,4.933,0.206,0.163,0.58,0.54
4.92,4.942,0.207,0.16,0.581,0.54
4.93,4.952,0.208,0.157,0.582,0.54
4.94,4.962,0.209,0.154,0.582,0.541
4.95,4.972,0.211,0.15,0.583,0.541
4.96,4.982,0.212,0.147,0.584,0.542
4.97,4.992,0.213,0.143,0.584,0.543
4.98,5.002,0.214,0.139,0.585,0.543
4.99,5.012,0.215,0.134,0.585,0.544
5.0,5.022,0.216,0.129,0.586,0.544
5.01,5.032,0.218,0.124,0.586,0.545
5.02,5.042,0.219,0.119,0.587,0.546
5.03,5.052,0.22,0.114,0.587,0.546
5.04,5.062,0.221,0.111,0.59,0.547
5.05,5.072,0.223,0.109,0.593,0.547
5.06,5.081,0.224,0.109,0.596,0.548
5.07,5.091,0.225,0.112,0.599,0.549
5.08,5.101,0.227,0.118,0.601,0.549
5.09,5.111,0.228,0.126,0.604,0.55
5.1,5.121,0.229,0.135,0.607,0.551
5.11,5.131,0.23,0.146,0.609,0.551
