x,y,yaw,v_ref
-1.8959,-0.609291,0.680352,1
-1.88563,-0.600975,0.674156,1
-1.87528,-0.592704,0.667987,1
-1.86485,-0.584479,0.661846,1
-1.85435,-0.5763,0.655733,1
-1.84378,-0.568168,0.649646,1
-1.83314,-0.560082,0.643586,1
-1.82242,-0.552043,0.637553,1
-1.81163,-0.544051,0.631546,1
-1.80077,-0.536107,0.625565,1
-1.78984,-0.528211,0.61961,1
-1.77884,-0.520363,0.613681,1
-1.76777,-0.512563,0.607777,1
-1.75662,-0.504813,0.601899,1
-1.74541,-0.497111,0.596046,1
-1.73413,-0.489459,0.590217,1
-1.72278,-0.481857,0.584413,1
-1.71137,-0.474305,0.578634,1
-1.69988,-0.466803,0.572878,1
-1.68833,-0.459352,0.567147,1
-1.67671,-0.451952,0.56144,1
-1.66503,-0.444603,0.555755,1
-1.65328,-0.437306,0.550095,1
-1.64146,-0.43006,0.544457,1
-1.62958,-0.422867,0.538842,1
-1.61764,-0.415726,0.53325,1
-1.60563,-0.408637,0.52768,1
-1.59356,-0.401602,0.522132,1
-1.58143,-0.39462,0.516606,1
-1.56923,-0.387691,0.511102,1
-1.55697,-0.380816,0.505619,1
-1.54465,-0.373995,0.500157,1
-1.53227,-0.367229,0.494717,1
-1.51983,-0.360517,0.489297,1
-1.50732,-0.35386,0.483898,1
-1.49476,-0.347258,0.478519,1
-1.48214,-0.340711,0.47316,1
-1.46946,-0.33422,0.467821,1
-1.45673,-0.327785,0.462501,1
-1.44393,-0.321406,0.457202,1
-1.43108,-0.315084,0.451921,1
-1.41817,-0.308818,0.446659,1
-1.40521,-0.302609,0.441416,1
-1.39219,-0.296457,0.436192,1
-1.37911,-0.290363,0.430985,1
-1.36599,-0.284326,0.425797,1
-1.3528,-0.278347,0.420627,1
-1.33957,-0.272426,0.415474,1
-1.32628,-0.266564,0.410339,1
-1.31294,-0.26076,0.40522,1
-1.29954,-0.255014,0.400119,1
-1.2861,-0.249328,0.395035,1
-1.2726,-0.243701,0.389967,1
-1.25906,-0.238134,0.384915,1
-1.24546,-0.232626,0.379879,1
-1.23182,-0.227178,0.37486,1
-1.21813,-0.221791,0.369856,1
-1.20438,-0.216463,0.364867,1
-1.1906,-0.211196,0.359893,1
-1.17676,-0.20599,0.354935,1
-1.16288,-0.200845,0.349991,1
-1.14895,-0.195761,0.345062,1
-1.13498,-0.190739,0.340147,1
-1.12096,-0.185778,0.335246,1
-1.1069,-0.180878,0.330359,1
-1.09279,-0.176041,0.325486,1
-1.07864,-0.171266,0.320627,1
-1.06445,-0.166553,0.31578,1
-1.05021,-0.161902,0.310947,1
-1.03594,-0.157315,0.306127,1
-1.02162,-0.15279,0.301319,1
-1.00727,-0.148328,0.296524,1
-0.99287,-0.143929,0.291741,1
-0.978434,-0.139594,0.28697,1
-0.96396,-0.135323,0.282211,1
-0.949448,-0.131115,0.277463,1
-0.934898,-0.126971,0.272727,1
-0.920311,-0.122891,0.268003,1
-0.905688,-0.118876,0.263289,1
-0.89103,-0.114924,0.258586,1
-0.876336,-0.111038,0.253894,1
-0.861607,-0.107216,0.249212,1
-0.846845,-0.103459,0.24454,1
-0.832049,-0.0997666,0.239879,1
-0.81722,-0.0961396,0.235227,1
-0.802359,-0.092578,0.230585,1
-0.787466,-0.0890817,0.225952,1
-0.772542,-0.0856511,0.221329,1
-0.757588,-0.0822862,0.216714,1
-0.742604,-0.078987,0.212109,1
-0.72759,-0.0757539,0.207512,1
-0.712548,-0.0725869,0.202924,1
-0.697478,-0.0694861,0.198344,1
-0.68238,-0.0664516,0.193772,1
-0.667255,-0.0634836,0.189208,1
-0.652104,-0.0605821,0.184651,1
-0.636927,-0.0577474,0.180103,1
-0.621725,-0.0549795,0.175561,1
-0.606498,-0.0522785,0.171027,1
-0.591247,-0.0496445,0.166499,1
-0.575974,-0.0470776,0.161979,1
-0.560677,-0.044578,0.157465,1
-0.545358,-0.0421457,0.152957,1
-0.530018,-0.0397808,0.148456,1
-0.514657,-0.0374834,0.14396,1
-0.499275,-0.0352537,0.139471,1
-0.483874,-0.0330916,0.134987,1
-0.468453,-0.0309973,0.130508,1
-0.453014,-0.0289709,0.126035,1
-0.437558,-0.0270124,0.121567,1
-0.422084,-0.025122,0.117104,1
-0.406593,-0.0232996,0.112646,1
-0.391086,-0.0215454,0.108192,1
-0.375564,-0.0198594,0.103742,1
-0.360027,-0.0182418,0.0992971,1
-0.344476,-0.0166925,0.0948559,1
-0.328911,-0.0152116,0.0904185,1
-0.313333,-0.0137993,0.0859847,1
